Word,Meaning,Pronounce,Example Sentence,Translated Sentence,Search Count,Category,Importance,Add Date,Done,Learning Point
goodbye,別れの挨拶、さようなら  ,/ɡʊdˈbaɪ/  ,列車が駅を出るとき、彼女は手を振ってさようならと言った。,She waved goodbye as the train pulled out of the station.  ,7.0,認知科学,4,2024-05-03,0.0,4.0
join,1. 一続きに結び付ける、つなげる、結合する 2. 参加する、加わる,/dʒɔɪn/,私は来週、そのミートアップに参加します。,I will join the meetup next week. (来週、私はそのミートアップに参加するつもりです。),1.0,強化学習,4,2024-05-06,2.0,1.0
pray,祈る,/preɪ/,彼女は祖母の快復を祈った。,She prayed for her grandmother's quick recovery.,1.0,データ分析,4,2024-05-09,2.0,1.0
be filled with,〜でいっぱいである、〜で満たされている  ,/bi ˈfɪld wɪð/  ,その部屋は笑い声と喜びで満たされていた。,The room was filled with laughter and joy.  ,2.0,その他,4,2024-05-12,2.0,2.0
look out,警戒する、用心する、見張る  ,/lʊk aʊt/  ,あの車に注意して、通りを渡りなさい！,Look out for that car coming down the street!  ,2.0,認知科学,4,2024-05-15,2.0,2.0
good job,良い仕事、素晴らしい成果,ɡʊd dʒɑːb,プレゼンテーション、良い仕事をしたね。その調子で頑張ってね！,You did a good job on the presentation. Keep up the good work!,2.0,強化学習,4,2024-05-18,0.0,2.0
play,演劇やスポーツなどの活動、遊び、遊戯  ,/pleɪ/  ,彼は放課後に友達とバスケットボールをすることを楽しんでいます。,He enjoys playing basketball with his friends after school.  ,3.0,データ分析,4,2024-05-21,2.0,3.0
better,より良い、改善された  ,/ˈbet.ər/  ,私は昨日よりも今日は調子が良いです。,I am feeling better today than I did yesterday.  ,3.0,その他,4,2024-05-24,2.0,3.0
enter,中に入る、入る、加わる、参加する  ,/ˈɛntər/  ,ログインするためにパスワードを入力してください。,Please enter your password to log in.  ,4.0,認知科学,4,2024-05-27,2.0,4.0
press,押す、圧迫する、報道機関  ,/preˈs/  ,機械を起動するためにボタンを押してください。,Please press the button to start the machine.  ,4.0,強化学習,4,2024-05-30,2.0,3.0
setting,環境、設定、背景、配置などの意味があります。,/ˈsɛtɪŋ/,彼女はその小屋の美しい山の環境が大好きだった。,She loved the beautiful mountain setting of the cabin. ,2.0,データ分析,4,2024-05-31,0.0,2.0
exist,存在する、生存する  ,ɪɡˈzɪst  ,地球外生命体は存在するのか？,Does extraterrestrial life exist?  ,2.0,その他,4,2024-06-01,2.0,2.0
read,読む,riːd,彼は毎晩本を読む。,He reads a book every night.,7.0,認知科学,4,2024-06-02,2.0,4.0
write,書く,raɪt,毎日少しでも日記を書くようにしている。,I try to write in my diary every day.,2.0,強化学習,4,2024-06-03,2.0,2.0
listen,聴く,lísn,音楽を聴くのはリラックスするのに最適だ。,Listening to music is the best way to relax.,3.0,データ分析,4,2024-06-04,2.0,3.0
speak,話す,spiːk,英語を話す練習をもっとしたい。,I want to practice speaking English more.,4.0,その他,4,2024-06-05,0.0,4.0
understand,理解する,ʌndərstænd,難しい概念を理解するのに時間がかかることがある。,It sometimes takes time to understand tough concepts.,5.0,認知科学,4,2024-06-08,2.0,4.0
study,勉強する,stʌ́di,試験のために夜遅くまで勉強した。,I studied late into the night for the exam.,0.0,強化学習,4,2024-06-11,2.0,0.0
learn,学ぶ、習得する,lɜːrn,毎日新しいことを学ぶように努めている。,I strive to learn something new every day.,7.0,データ分析,4,2024-06-14,2.0,6.0
think,考える,θɪŋk,問題についてよく考えてから答えてください。,Please think carefully before answering the question.,8.0,その他,4,2024-06-17,2.0,8.0
help,助ける、手伝う,hɛlp,困っているときに友達を助けることは大切だ。,It’s important to help friends when they're in need.,7.0,認知科学,4,2024-06-20,0.0,4.0
teach,教える,tiːʧ,彼女は生徒たちに数学を教えている。,She teaches math to her students.,1.0,強化学習,4,2024-06-23,2.0,1.0
run,走る,rʌn,彼は毎朝5キロ走っている。,He runs 5 kilometers every morning.,6.0,データ分析,4,2024-06-26,2.0,6.0
jump,跳ぶ,ʤʌmp,子供たちは楽しそうに跳び跳ねている。,The children are happily jumping around.,8.0,その他,4,2024-06-29,2.0,8.0
eat,食べる,iːt,私は朝食にパンを食べるのが好きだ。,I like to eat bread for breakfast.,6.0,認知科学,4,2024-07-02,2.0,5.0
