Word,Appearance Frequency,Meaning,Category,Learning Point,Add Date,Importance,Done
replay,87,リプレイ,強化学習,4,2024-09-25,2,0.0
learning,85,学ぶ,強化学習,3,2024-09-25,2,1.0
transitions,59,遷移,強化学習,4,2024-09-25,2,0.0
more,45,もっと,強化学習,4,2024-09-25,2,1.0
prioritized,43,優先される,強化学習,3,2024-09-25,2,0.0
prioritization,39,優先順位,強化学習,3,2024-09-25,2,1.0
error,37,エラー,強化学習,3,2024-10-06,1,0.0
experience,34,経験,強化学習,3,2024-09-25,2,1.0
memory,34,メモリ,強化学習,3,2024-09-25,2,0.0
transition,33,遷移,強化学習,3,2024-09-25,2,1.0
paper,31,紙,強化学習,4,2024-09-28,2,0.0
conference,30,会議,強化学習,3,2024-09-28,2,1.0
rank,30,ランク,強化学習,3,2024-09-28,2,0.0
td,27,td,強化学習,3,2024-09-28,2,1.0
human,25,人間,強化学習,3,2024-09-28,2,0.0
double,24,ダブル,強化学習,3,2024-09-28,2,1.0
random,23,ランダム,強化学習,3,2024-09-28,2,1.0
value,21,価値,強化学習,3,2024-10-06,1,0.0
step,21,ステップ,強化学習,3,2024-09-28,2,0.0
function,20,関数,強化学習,3,2024-09-28,2,0.0
training,20,トレーニング,強化学習,3,2024-09-28,2,1.0
uniform,19,制服,強化学習,3,2024-09-28,2,0.0
agent,19,エージェント,強化学習,3,2024-10-06,1,0.0
performance,18,パフォーマンス,データ分析,3,2024-10-05,1,1.0
errors,18,エラー,強化学習,3,2024-09-28,2,1.0
priority,18,優先度,強化学習,3,2024-09-28,2,0.0
iclr,17,iclr,強化学習,3,2024-09-28,2,1.0
update,17,アップデート,強化学習,3,2024-09-28,2,0.0
replayed,17,再生,強化学習,3,2024-09-28,2,1.0
size,17,サイズ,強化学習,3,2024-09-28,2,0.0
proportional,17,比例する,強化学習,3,2024-09-28,2,1.0
deep,16,深い,強化学習,3,2024-09-28,2,0.0
only,16,のみ,強化学習,3,2024-09-28,2,1.0
depression,38,うつ,データ分析,4,2024-09-29,1,0.0
group,28,グループ,データ分析,4,2024-09-29,1,1.0
subjects,26,科目,データ分析,4,2024-09-29,1,0.0
symptoms,24,症状,データ分析,4,2024-09-29,1,1.0
features,23,特徴,データ分析,4,2024-09-29,1,0.0
using,22,使用して,強化学習,4,2024-09-29,1,1.0
groups,20,グループ,データ分析,4,2024-09-30,1,0.0
data,20,データ,認知科学,3,2024-10-05,1,1.0
mfcc,18,MFCC,データ分析,4,2024-09-30,1,0.0
scores,17,スコア,データ分析,4,2024-09-30,1,1.0
used,17,使用済み,データ分析,4,2024-09-30,1,0.0
study,17,勉強,データ分析,4,2024-09-30,1,1.0
mean,16,平均,データ分析,4,2024-09-30,1,0.0
speech,15,スピーチ,データ分析,4,2024-09-30,1,1.0
health,14,健康,データ分析,4,2024-09-30,1,0.0
severity,14,重大度,データ分析,4,2024-09-30,1,1.0
table,14,テーブル,認知科学,4,2024-10-05,1,1.0
acoustic,13,音響,データ分析,4,2024-09-30,1,1.0
frequency,13,頻度,データ分析,3,2024-09-30,1,0.0
formant,13,フォルマント,データ分析,3,2024-09-30,1,1.0
patients,12,患者,データ分析,3,2024-09-30,1,0.0
accuracy,12,正確さ,データ分析,3,2024-09-30,1,1.0
results,12,結果,強化学習,3,2024-10-01,1,0.0
shows,12,ショー,データ分析,3,2024-10-01,1,1.0
public,11,公共,データ分析,3,2024-10-01,1,0.0
depressive,11,憂鬱な,データ分析,3,2024-10-01,1,1.0
symptom,11,症状,データ分析,3,2024-10-01,1,0.0
voice,11,声,データ分析,3,2024-10-01,1,1.0
average,11,平均,データ分析,3,2024-10-01,1,0.0
clustering,10,クラスタリング,データ分析,3,2024-10-01,1,1.0
res,10,解像度,データ分析,3,2024-10-01,1,0.0
differences,10,違い,データ分析,3,2024-10-01,1,1.0
medication,10,薬,データ分析,3,2024-10-01,1,0.0
conducted,9,実施した,データ分析,3,2024-10-01,1,1.0
model,9,モデル,認知科学,3,2024-10-05,1,0.0
std,9,標準,データ分析,3,2024-10-02,1,1.0
test,9,テスト,データ分析,3,2024-10-02,1,0.0
depressed,8,押し下げられた,データ分析,3,2024-10-02,1,1.0
score,8,スコア,強化学習,3,2024-10-06,1,0.0
dose,8,用量,データ分析,3,2024-10-02,1,1.0
method,7,方法,データ分析,3,2024-10-05,1,1.0
different,7,違う,データ分析,3,2024-10-02,1,1.0
feature,7,特徴,データ分析,3,2024-10-02,1,0.0
review,7,レビュー,認知科学,3,2024-10-05,1,1.0
age,7,年,データ分析,3,2024-10-02,1,0.0
question,7,質問,データ分析,3,2024-10-02,1,1.0
created,7,作成された,データ分析,3,2024-10-02,1,0.0
cross,7,クロス,データ分析,3,2024-10-02,1,1.0
confusion,7,混乱,データ分析,3,2024-10-02,1,0.0
dose medication,7,投薬量,データ分析,3,2024-10-02,1,1.0
methods,6,方法,強化学習,3,2024-10-02,1,0.0
studied,6,研究した,データ分析,3,2024-10-03,1,1.0
spectral,6,スペクトル,データ分析,3,2024-10-03,1,0.0
according,6,によると,データ分析,3,2024-10-03,1,1.0
total,6,合計,データ分析,3,2024-10-03,1,0.0
prediction,6,予測,データ分析,3,2024-10-03,1,1.0
result,6,結果,認知科学,3,2024-10-05,1,1.0
matrix,6,マトリックス,データ分析,3,2024-10-03,1,1.0
male,6,男,データ分析,3,2024-10-03,1,0.0
policy,148,ポリシー,データ分析,5,2024-10-05,1,1.0
soft,54,柔らかい,強化学習,4,2024-10-04,1,0.0
actor,52,俳優,強化学習,4,2024-10-04,1,1.0
entropy,46,エントロピ,強化学習,4,2024-10-04,1,0.0
maximum,35,最大,強化学習,4,2024-10-04,1,1.0
q,34,q,強化学習,4,2024-10-04,1,0.0
critic,31,批評家,強化学習,3,2024-10-04,1,1.0
critic actor,29,批評家俳優,強化学習,4,2024-10-04,1,0.0
gradient,26,勾配,強化学習,4,2024-10-04,1,1.0
state,21,州,強化学習,4,2024-10-06,1,0.0
sac,21,袋,強化学習,3,2024-10-04,1,1.0
algorithms,19,アルゴリズム,認知科学,3,2024-10-05,1,0.0
objective,19,客観的,強化学習,3,2024-10-04,1,1.0
reward,18,褒美,データ分析,3,2024-10-05,1,1.0
network,18,ネットワーク,データ分析,3,2024-10-05,1,1.0
optimal,17,最適,強化学習,3,2024-10-04,1,0.0
ddpg,16,ddpg,強化学習,3,2024-10-04,1,1.0
target,16,ターゲット,強化学習,3,2024-10-04,1,0.0
reinforcement,15,強化,強化学習,3,2024-10-04,1,1.0
off,15,オフ,強化学習,3,2024-10-04,1,0.0
action,15,アクション,強化学習,3,2024-10-04,1,1.0
evaluation,15,評価,強化学習,3,2024-10-04,1,0.0
prior,14,前,強化学習,3,2024-10-04,1,1.0
use,13,使用,強化学習,3,2024-10-06,1,0.0
iteration,13,反復,強化学習,3,2024-10-04,1,1.0
learning reinforcement,13,学習強化,強化学習,3,2024-10-04,1,0.0
rl,12,rl,強化学習,3,2024-10-04,1,1.0
continuous,12,連続した,強化学習,3,2024-10-04,1,0.0
exploration,12,探検,データ分析,3,2024-10-05,1,1.0
stability,11,安定性,強化学習,3,2024-10-04,1,0.0
policies,11,ポリシー,強化学習,3,2024-10-04,1,1.0
equation,11,方程式,認知科学,3,2024-10-05,1,0.0
iteration policy,11,反復ポリシー,強化学習,3,2024-10-04,1,1.0
function value,11,関数値,データ分析,3,2024-10-05,1,1.0
function q,11,関数q,強化学習,3,2024-10-04,1,1.0
improvement,10,改善,強化学習,3,2024-10-04,1,0.0
gradient policy,10,勾配政策,強化学習,3,2024-10-04,1,1.0
effect,52,効果,認知科学,4,2024-10-05,1,0.0
variables,33,変数,認知科学,3,2024-10-05,1,1.0
z,29,ず,認知科学,4,2024-10-05,1,0.0
causal,25,因果関係,認知科学,4,2024-10-05,1,1.0
x,25,x,認知科学,4,2024-10-05,1,0.0
pearl,24,パール,認知科学,4,2024-10-05,1,1.0
outcome,24,結果,認知科学,4,2024-10-05,1,0.0
probability,23,確率,認知科学,4,2024-10-05,1,1.0
set,21,セット,認知科学,4,2024-10-05,1,0.0
treatment,20,処理,認知科学,4,2024-10-05,1,1.0
u,20,あなた,認知科学,3,2024-10-05,1,0.0
factors,18,要因,認知科学,3,2024-10-05,1,1.0
variable,17,変数,認知科学,3,2024-10-05,1,0.0
counterfactuals,16,反事実,認知科学,3,2024-10-05,1,1.0
effects,14,効果,認知科学,3,2024-10-05,1,0.0
language,14,言語,認知科学,3,2024-10-05,1,1.0
problem,14,問題,認知科学,3,2024-10-05,1,0.0
notation,14,表記,認知科学,3,2024-10-05,1,1.0
v,14,ヴ,認知科学,3,2024-10-05,1,0.0
section,13,セクション,認知科学,3,2024-10-05,1,1.0
conditions,13,条件,認知科学,3,2024-10-05,1,0.0
adjustment,12,調整,認知科学,3,2024-10-05,1,1.0
figure,12,形,認知科学,3,2024-10-05,1,0.0
models,11,モデル,認知科学,3,2024-10-05,1,1.0
terms,11,条項,認知科学,3,2024-10-05,1,0.0
knowledge,10,知識,認知科学,3,2024-10-05,1,1.0
path,10,パス,認知科学,3,2024-10-05,1,0.0
interpretation,10,解釈,認知科学,3,2024-10-05,1,1.0
equations,10,方程式,認知科学,3,2024-10-05,1,0.0
door,10,ドア,認知科学,3,2024-10-05,1,1.0
criterion,10,基準,認知科学,3,2024-10-05,1,0.0
covariates,10,共変量,認知科学,3,2024-10-05,1,1.0
rubin,9,ルビン,認知科学,3,2024-10-05,1,0.0
questions,9,質問,認知科学,3,2024-10-05,1,1.0
studies,9,研究,認知科学,3,2024-10-05,1,1.0
events,9,イベント,認知科学,3,2024-10-05,1,1.0
density,62,密度,認知科学,4,2024-10-05,1,1.0
markov,40,マルコフ,認知科学,4,2024-10-05,1,1.0
wine,38,ワイン,認知科学,4,2024-10-05,1,1.0
densities,36,密度,認知科学,3,2024-10-05,1,1.0
population,35,人口,認知科学,3,2024-10-05,1,1.0
search,35,検索,認知科学,3,2024-10-05,1,1.0
manipulation,29,操作,認知科学,3,2024-10-05,1,1.0
values,25,価値観,認知科学,3,2024-10-05,1,1.0
inference,25,推論,認知科学,3,2024-10-05,1,1.0
heart,25,心臓,認知科学,3,2024-10-05,1,1.0
equivalence,23,等価,認知科学,3,2024-10-05,1,1.0
models causal,22,因果モデル,認知科学,3,2024-10-05,1,1.0
problems,21,問題,認知科学,3,2024-10-05,1,1.0
manipulations,20,操作,認知科学,3,2024-10-05,1,1.0
graph,20,グラフ,認知科学,3,2024-10-05,1,1.0
independence,20,独立,認知科学,3,2024-10-05,1,1.0
attacks,19,攻撃,認知科学,3,2024-10-05,1,1.0
attacks heart,19,心臓を攻撃する,認知科学,3,2024-10-05,1,1.0
time,17,時間,強化学習,3,2024-10-06,1,0.0
preprint,87,もちろんです。翻訳したいpreprintの内容を提供してください。,認知科学,4,2024-10-05,1,1.0
e,75,認知科学,認知科学,4,2024-10-05,1,1.0
license,58,ライセンス,認知科学,4,2024-10-05,1,1.0
c,44,もちろんです。翻訳したい内容を教えてください。,認知科学,4,2024-10-05,1,1.0
make,34,作る,認知科学,4,2024-10-05,1,1.0
induction,34,帰納法,認知科学,4,2024-10-05,1,1.0
cause,32,原因,認知科学,4,2024-10-05,1,1.0
author,31,もちろんです。翻訳したい文を教えてください。,認知科学,3,2024-10-05,1,1.0
grant,30,助成金,認知科学,3,2024-10-05,1,1.0
version,30,もちろんです。翻訳したい「version」を教えてください。,認知科学,3,2024-10-05,1,1.0
dfh,30,dfhの翻訳は「認知科学」です。,認知科学,3,2024-10-05,1,1.0
p,30,もちろんです。翻訳したい内容を教えてください。,認知科学,3,2024-10-05,1,1.0
copyright,29,著作権,認知科学,3,2024-10-05,1,1.0
holder,29,ホルダー,認知科学,3,2024-10-05,1,1.0
certify,29,認証,認知科学,3,2024-10-05,1,1.0
peer,29,仲間,認知科学,3,2024-10-05,1,1.0
funder,29,資金提供者,認知科学,3,2024-10-05,1,1.0
perpetuity,29,永続性,認知科学,3,2024-10-05,1,1.0
availabledoi,29,利用可能なDOI,認知科学,3,2024-10-05,1,1.0
post,29,もちろんです。翻訳したいpostの内容を教えてください。,認知科学,3,2024-10-05,1,1.0
acc,29,アクセプタンス,認知科学,3,2024-10-05,1,1.0
holder copyright,29,ホルダー著作権,認知科学,3,2024-10-05,1,1.0
review peer,29,レビュー査読者,認知科学,3,2024-10-05,1,1.0
post version,29,もちろんです。翻訳したい内容を教えてください。,認知科学,3,2024-10-05,1,1.0
index,23,索引,認知科学,3,2024-10-05,1,1.0
intrinsic,42,内在的,データ分析,4,2024-10-05,1,1.0
learn,39,学習,強化学習,2,2024-10-06,1,0.0
bonus,33,ボーナス,データ分析,3,2024-10-05,1,1.0
return,31,返す,データ分析,3,2024-10-05,1,1.0
environment,31,環境,データ分析,3,2024-10-05,1,1.0
extrinsic,30,外的な,データ分析,3,2024-10-05,1,1.0
revenge,27,復讐,データ分析,3,2024-10-05,1,1.0
