Word,Appearance_Count,Meaning
social,42,社交
x,31,x
sg,22,SG
learning,21,学ぶ
soc,20,Soc
model,19,モデル
participants,19,参加者
reward,16,褒美
previous,15,前の
information,14,情報
ε,13,ε
models,12,モデル
b,11,b
vs,10,vs
db,10,DB
bandit,9,盗賊
wu,9,ウー
search,9,検索
individual,9,個人
evolutionary,8,進化的
p,8,p
correlated,7,相関しています
groups,7,グループ
choices,7,選択肢
gp,7,GP
mean,7,平均
value,7,価値
v,7,v
ind,7,Ind
distance,7,距離
however,6,しかし
function,6,関数
different,6,違う
less,6,少ない
c,6,c
higher,6,より高い
simulations,6,シミュレーション
best,6,最高
human,6,人間
laland,5,ラランド
generalization,5,一般化
socially,5,社会的に
first,5,初め
possible,5,可能
gaussian,5,ガウス
rbf,5,RBF
population,5,人口
τ,5,τ
average,5,平均
salt,4,塩
using,4,使用
integrate,4,統合する
yaniv,4,ヤニブ
line,4,ライン
humans,4,人間
rewards,4,報酬
even,4,平
outcomes,4,結果
used,4,使用済み
data,4,データ
experiment,4,実験
found,4,見つかった
also,4,また
shows,4,ショー
much,4,多くの
exact,4,ちょうど
spatially,4,空間的に
group,4,グループ
correlations,4,相関
spatial,4,空間
expected,4,期待される
bonus,4,ボーナス
choice,4,選択
predictions,4,予測
uncertainty,4,不確実性
observations,4,観察
tion,4,の
figure,4,形
parameter,4,パラメーター
finally,4,ついに
π,4,π
results,4,結果
imitation,4,模倣
result,4,結果
j,4,j
science,3,科学
society,3,社会
toyokawa,3,豊川
n,3,n
germany,3,ドイツ
preferences,3,好み
work,3,仕事
process,3,プロセス
research,3,研究
thus,3,したがって
behaviour,3,行動
task,3,タスク
scientist,3,科学者
r,3,r
populations,3,人口
